Timestamp,Event,Person
2025-11-22 19:08:36,Unknown Person Detected,No face detected for 3 consecutive attempts
2025-11-22 19:08:40,Unknown Person Detected,No face detected for 3 consecutive attempts
2025-11-22 19:08:45,Door Locked,N/A
2025-11-22 19:08:45,System Stopped,N/A
2025-11-22 19:14:36,System Started,N/A
2025-11-22 19:14:41,Unknown Person Detected,N/A
2025-11-22 19:14:41,Unknown Person Detected,3 consecutive face detection failures
2025-11-22 19:14:47,Unknown Person Detected,No face detected for 3 consecutive attempts
2025-11-22 19:14:51,Unknown Person Detected,No face detected for 3 consecutive attempts
2025-11-22 19:14:56,Unknown Person Detected,No face detected for 3 consecutive attempts
2025-11-22 19:15:02,Door Locked,N/A
2025-11-22 19:15:02,System Stopped,N/A
2025-11-22 19:19:40,System Started,N/A
2025-11-22 19:19:45,Unknown Person Detected,N/A
2025-11-22 19:19:45,Unknown Person Detected,No face detected for 3 consecutive attempts
2025-11-22 19:19:50,Unknown Person Detected,N/A
2025-11-22 19:19:51,Unknown Person Detected,N/A
2025-11-22 19:19:51,Unknown Person Detected,N/A
2025-11-22 19:19:51,Unknown Person Detected,3 consecutive face detection failures
2025-11-22 19:19:56,Door Locked,N/A
2025-11-22 19:19:56,System Stopped,N/A
2025-11-22 19:29:49,System Started,N/A
2025-11-22 19:29:53,Unknown Person Detected,No face detected for 3 consecutive attempts
2025-11-22 19:29:58,Unknown Person Detected,N/A
2025-11-22 19:29:58,Unknown Person Detected,No face detected for 3 consecutive attempts
2025-11-22 19:30:04,Door Locked,N/A
2025-11-22 19:30:04,System Stopped,N/A
2025-11-22 19:31:58,System Started,N/A
2025-11-22 19:32:03,Unknown Person Detected,N/A
2025-11-22 19:32:08,Unknown Person Detected,N/A
2025-11-22 19:32:13,Unknown Person Detected,N/A
2025-11-22 19:32:14,Unknown Person Detected,N/A
2025-11-22 19:32:19,Unknown Person Detected,N/A
2025-11-22 19:32:25,Door Locked,N/A
2025-11-22 19:32:25,System Stopped,N/A
2025-11-22 19:34:41,System Started,N/A
2025-11-22 19:34:46,Unknown Person Detected,N/A
2025-11-22 19:34:46,Unknown Person Detected,N/A
2025-11-22 19:34:47,Unknown Person Detected,N/A
2025-11-22 19:34:47,Unknown Person Detected,N/A
2025-11-22 19:34:47,Unknown Person Detected,N/A
2025-11-22 19:34:48,Unknown Person Detected,N/A
2025-11-22 19:34:48,Unknown Person Detected,N/A
2025-11-22 19:34:49,Unknown Person Detected,N/A
2025-11-22 19:34:49,Unknown Person Detected,N/A
2025-11-22 19:34:50,Unknown Person Detected,N/A
2025-11-22 19:34:50,Unknown Person Detected,N/A
2025-11-22 19:34:51,Unknown Person Detected,N/A
2025-11-22 19:34:51,Unknown Person Detected,N/A
2025-11-22 19:34:52,Unknown Person Detected,N/A
2025-11-22 19:34:52,Unknown Person Detected,N/A
2025-11-22 19:34:53,Unknown Person Detected,N/A
2025-11-22 19:34:53,Unknown Person Detected,N/A
2025-11-22 19:34:54,Unknown Person Detected,N/A
2025-11-22 19:34:54,Unknown Person Detected,N/A
2025-11-22 19:34:55,Unknown Person Detected,N/A
2025-11-22 19:34:55,Unknown Person Detected,N/A
2025-11-22 19:34:56,Unknown Person Detected,N/A
2025-11-22 19:34:56,Unknown Person Detected,N/A
2025-11-22 19:34:57,Unknown Person Detected,N/A
2025-11-22 19:34:57,Unknown Person Detected,N/A
2025-11-22 19:34:58,Unknown Person Detected,N/A
2025-11-22 19:34:58,Unknown Person Detected,N/A
2025-11-22 19:34:59,Unknown Person Detected,N/A
2025-11-22 19:34:59,Unknown Person Detected,N/A
2025-11-22 19:35:00,Unknown Person Detected,N/A
2025-11-22 19:35:00,Unknown Person Detected,N/A
2025-11-22 19:35:00,Unknown Person Detected,N/A
2025-11-22 19:35:01,Unknown Person Detected,N/A
2025-11-22 19:35:02,Unknown Person Detected,N/A
2025-11-22 19:35:02,Unknown Person Detected,N/A
2025-11-22 19:35:03,Unknown Person Detected,N/A
2025-11-22 19:35:05,Unknown Person Detected,N/A
2025-11-22 19:35:05,Unknown Person Detected,N/A
2025-11-22 19:35:06,Unknown Person Detected,N/A
2025-11-22 19:35:07,Unknown Person Detected,N/A
2025-11-22 19:35:07,Unknown Person Detected,N/A
2025-11-22 19:35:08,Unknown Person Detected,N/A
2025-11-22 19:35:08,Unknown Person Detected,N/A
2025-11-22 19:35:09,Unknown Person Detected,N/A
2025-11-22 19:35:09,Unknown Person Detected,N/A
2025-11-22 19:35:10,Unknown Person Detected,N/A
2025-11-22 19:35:10,Unknown Person Detected,N/A
2025-11-22 19:35:11,Unknown Person Detected,N/A
2025-11-22 19:35:11,Unknown Person Detected,N/A
2025-11-22 19:35:12,Unknown Person Detected,N/A
2025-11-22 19:35:12,Unknown Person Detected,N/A
2025-11-22 19:35:13,Unknown Person Detected,N/A
2025-11-22 19:35:13,Unknown Person Detected,N/A
2025-11-22 19:35:14,Unknown Person Detected,N/A
2025-11-22 19:35:14,Unknown Person Detected,N/A
2025-11-22 19:35:15,Unknown Person Detected,N/A
2025-11-22 19:35:15,Unknown Person Detected,N/A
2025-11-22 19:35:16,Unknown Person Detected,N/A
2025-11-22 19:35:16,Unknown Person Detected,N/A
2025-11-22 19:35:17,Unknown Person Detected,N/A
2025-11-22 19:35:17,Unknown Person Detected,N/A
2025-11-22 19:35:18,Unknown Person Detected,N/A
2025-11-22 19:35:18,Door Locked,N/A
2025-11-22 19:35:18,System Stopped,N/A
